iteration,fitness,machines running,fitness,walkingpath
4,88.290500000000023,1,length,"[[0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 6, 8, 7, 11, 14, 18, 21, 20, 17, 12, 13, 14, 11, 14, 13, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 23, 22, 19, 15, 18, 14, 13, 20, 13, 12, 10, 12, 13, 14, 18, 21, 20, 17, 12, 10, 12, 17, 20, 13, 20, 21, 18, 21, 23, 22, 16, 9, 3, 9, 16, 19, 16, 22, 23, 21, 18, 15, 11, 7, 8, 6, 5, 7, 8, 9, 16, 22, 19, 15, 18, 14, 11, 15, 19, 22, 16, 9, 8, 7, 5, 6, 8, 7, 11, 15, 19, 16, 9, 3, 4, 3, 9, 8, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
5,85.12299999999999,1,length,"[[0, 1, 0, 1, 2, 1, 6, 5, 7, 8, 6, 1, 2, 3, 4, 3, 2, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 12, 13, 14, 18, 21, 20, 17, 20, 13, 20, 21, 23, 22, 19, 15, 18, 14, 11, 7, 5, 6, 8, 9, 8, 7, 11, 15, 19, 22, 16, 9, 16, 22, 23, 21, 18, 14, 13, 12, 10, 12, 13, 14, 18, 21, 20, 17, 12, 10, 12, 17, 20, 13, 12, 17, 20, 21, 23, 22, 19, 15, 11, 7, 8, 6, 5, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
18,74.322000000000017,1,length,"[[0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 6, 5, 7, 8, 6, 1, 0, 1, 2, 3, 9, 16, 19, 22, 23, 21, 20, 13, 12, 17, 20, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 6, 8, 7, 11, 14, 13, 20, 17, 12, 13, 20, 17, 12, 10, 12, 13, 14, 18, 21, 23, 22, 19, 15, 11, 7, 5, 6, 8, 9, 8, 7, 11, 15, 18, 14, 11, 7, 8, 6, 5, 7, 8, 9, 16, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
105,73.875000000000014,1,length,"[[0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 21, 20, 17, 12, 10, 12, 13, 20, 21, 18, 15, 19, 22, 23, 21, 23, 22, 19, 15, 18, 14, 11, 7, 8, 6, 5, 7, 5, 6, 1, 0, 1, 2, 3, 9, 16, 19, 16, 9, 3, 4, 3, 2, 1, 6, 8, 9, 16, 22, 23, 21, 18, 15, 11, 7, 8, 6, 1, 2, 3, 9, 8, 7, 11, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
128,73.744000000000014,1,length,"[[0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 6, 8, 7, 11, 15, 19, 15, 18, 21, 20, 17, 12, 13, 14, 18, 15, 11, 7, 8, 9, 16, 19, 22, 23, 21, 18, 14, 13, 12, 17, 20, 13, 20, 21, 18, 15, 19, 16, 9, 16, 22, 19, 15, 18, 21, 23, 22, 16, 9, 3, 9, 8, 6, 5, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0, 1, 6, 8, 7, 11, 14, 13, 12, 10, 12, 13, 14, 11, 7, 8, 9, 16, 9, 3, 4, 3, 2, 1, 0]]"
223,68.021999999999977,1,length,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 14, 11, 7, 8, 6, 5, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 6, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 9, 3, 9, 8, 7, 11, 15, 18, 21, 20, 13, 20, 17, 12, 13, 14, 18, 21, 23, 22, 19, 15, 11, 7, 8, 6, 5, 7, 5, 7, 8, 9, 16, 22, 23, 21, 18, 14, 13, 12, 10, 12, 13, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
437,59.125,1,length,"[[0, 1, 2, 3, 4, 3, 2, 1, 6, 8, 9, 16, 19, 22, 23, 21, 18, 14, 13, 12, 17, 20, 13, 20, 17, 12, 10, 12, 13, 14, 18, 21, 20, 21, 23, 22, 16, 9, 3, 9, 8, 7, 11, 14, 11, 7, 8, 9, 8, 6, 5, 7, 5, 6, 8, 7, 11, 15, 19, 16, 22, 19, 15, 18, 21, 20, 17, 12, 13, 20, 21, 18, 15, 11, 7, 5, 6, 1, 0]]"
4792,53.626999999999988,1,length,"[[0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 16, 9, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 21, 18, 15, 19, 16, 22, 23, 21, 20, 17, 12, 13, 20, 21, 23, 22, 19, 15, 18, 14, 13, 12, 10, 12, 13, 14, 11, 7, 8, 6, 5, 7, 5, 6, 8, 9, 3, 2, 1, 6, 8, 7, 11, 15, 19, 22, 23, 22, 19, 15, 11, 7, 8, 6, 1, 0]]"
17090,53.004999999999981,1,length,"[[0, 1, 2, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 17, 12, 13, 14, 18, 21, 20, 13, 20, 21, 23, 22, 19, 15, 18, 14, 13, 12, 10, 12, 13, 12, 17, 20, 13, 14, 11, 15, 19, 15, 11, 7, 8, 9, 3, 4, 3, 2, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 22, 16, 9, 8, 6, 5, 7, 5, 6, 1, 0]]"
