Street A,Street B,Latitude,Longitude,Intersection type,Other type
LAVOLANTIE,MUNTERONKATU,61.92410999999999,25.7481511,APPROXIMATE,country
LAVOLANTIE,RUOHOLAMMENKATU,61.92410999999999,25.7481511,APPROXIMATE,country
LAVOLANTIE,SKINNARILANKATU,61.0648397,28.0929637,ROOFTOP,establishment
MUNTERONKATU,RUOHOLAMMENKATU,61.05318440000001,28.0632344,GEOMETRIC_CENTER,intersection
MUNTERONKATU,SKINNARILANKATU,61.0648397,28.0929637,ROOFTOP,establishment
RUOHOLAMMENKATU,SKINNARILANKATU,61.0648397,28.0929637,ROOFTOP,establishment
