Street A,Street B,Latitude,Longitude,Intersection type,Other type
JUPITERINKATU,KALLIOPELLONKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,KARJAKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,KIERTOKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,KIVINIEMENRAITTI,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,KORPIKUNNAANKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,KORPIMAANKATU,61.05477510000001,28.0941362,GEOMETRIC_CENTER,intersection
JUPITERINKATU,KORPIMETSANKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,KORPISUONKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,LIESHARJUNKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,LINNUNRATA,61.056945,28.0936107,GEOMETRIC_CENTER,intersection
JUPITERINKATU,MERENLAHDENTIE,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,MIILUKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,NOTKOKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,OSTOSRAITTI,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,PANSSARIKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,PELTOMAANKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,PIENNIEMENKATU,61.0576203,28.0888543,GEOMETRIC_CENTER,intersection
JUPITERINKATU,PIRKONLAHTEENKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,PORONKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,PORTINKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,PUNKKERIKATU,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,RUOTSALAISENRAITTI,61.92410999999999,25.7481511,APPROXIMATE,country
JUPITERINKATU,RUSKONLAHDENKATU,61.92410999999999,25.7481511,APPROXIMATE,country
