61.0441707,28.0263376
61.0374383,28.0429029
61.0315254,28.0562496
61.0304446,28.060112
61.0284907,28.0626869
61.0543393,28.0654335
61.0522622,28.066206
61.052553,28.0723
61.0517845,28.0724931
61.0326062,28.0798531
61.0609435,28.0803251
61.0528023,28.0800676
61.0581608,28.0925131
61.0569562,28.0935431
61.0547962,28.0941439
61.0477337,28.0954742
61.0365758,28.0959249
61.0634768,28.1004524
61.0519714,28.1062889
61.0456769,28.1074476
61.0585553,28.1044436
61.0529061,28.1079197
61.0455731,28.1146145
61.0464872,28.1171036
