iteration,fitness,machines running,walkingpath
8,40.243499999999997,1,"[[0, 1, 2, 3, 4, 3, 9, 8, 7, 11, 14, 18, 14, 13, 12, 17, 20, 17, 12, 10, 12, 13, 20, 21, 18, 15, 19, 22, 23, 21, 18, 15, 11, 7, 8, 6, 5, 7, 8, 6, 1, 0, 1, 2, 3, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
60,36.909499999999987,1,"[[0, 1, 2, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 13, 12, 17, 20, 13, 14, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
131,36.705499999999994,1,"[[0, 1, 2, 3, 9, 16, 19, 15, 18, 21, 20, 17, 12, 13, 14, 18, 21, 23, 22, 19, 15, 11, 7, 8, 6, 5, 7, 8, 9, 16, 22, 23, 21, 20, 13, 12, 10, 12, 17, 20, 13, 14, 11, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
169,36.639499999999991,1,"[[0, 1, 2, 3, 4, 3, 9, 16, 19, 15, 18, 21, 20, 17, 12, 13, 14, 18, 21, 23, 22, 19, 15, 11, 7, 8, 6, 8, 9, 16, 22, 23, 21, 20, 13, 12, 10, 12, 17, 20, 13, 14, 11, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
209,35.901499999999992,1,"[[0, 1, 2, 3, 2, 1, 6, 5, 7, 8, 7, 11, 14, 13, 14, 18, 21, 20, 17, 12, 13, 20, 17, 12, 10, 12, 13, 20, 21, 23, 22, 19, 15, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
542,34.528999999999996,1,"[[0, 1, 2, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 23, 21, 18, 14, 11, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
2457,33.219500000000004,1,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 13, 14, 18, 15, 11, 7, 5, 6, 5, 7, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
7415,33.083500000000001,1,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 13, 20, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
