iteration,fitness,machines running,walkingpath
2,56.274499999999968,2,"[[0, 1, 2, 3, 4, 3, 9, 8, 7, 8, 6, 5, 7, 11, 15, 19, 22, 23, 22, 16, 9, 3, 2, 1, 6, 5, 7, 5, 6, 8, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 14, 13, 20, 21, 23, 22, 19, 22, 16, 22, 23, 21, 18, 15, 19, 16, 9, 3, 4, 3, 4, 3, 2, 1, 0]]"
63,51.664499999999997,2,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 13, 14, 18, 21, 23, 22, 16, 9, 8, 7, 5, 6, 1, 2, 1, 0], [0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 20, 17, 12, 10, 12, 13, 20, 21, 18, 15, 19, 22, 16, 19, 15, 11, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
397,46.771499999999989,2,"[[0, 1, 2, 1, 6, 5, 7, 8, 9, 16, 19, 15, 18, 21, 20, 13, 14, 18, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 23, 22, 19, 15, 11, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
883,42.739499999999992,2,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 16, 9, 3, 2, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 9, 8, 7, 5, 6, 8, 7, 11, 15, 19, 22, 23, 21, 18, 14, 13, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
1737,41.701499999999996,2,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 16, 9, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 9, 8, 7, 5, 6, 8, 7, 11, 15, 19, 22, 23, 21, 18, 14, 13, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
9413,41.701499999999989,2,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 10, 12, 17, 20, 13, 12, 17, 20, 21, 18, 15, 19, 16, 9, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 9, 8, 7, 8, 6, 5, 7, 11, 15, 19, 22, 23, 21, 18, 14, 13, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
