iteration,fitness,machines running,fitness,walkingpath
2,118.31228571428569,1,time,"[[0, 1, 2, 3, 4, 3, 9, 16, 22, 19, 15, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 13, 12, 10, 12, 17, 20, 13, 14, 11, 7, 8, 6, 5, 7, 8, 9, 16, 19, 22, 23, 21, 18, 15, 11, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
56,116.12142857142854,1,time,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 12, 13, 14, 18, 21, 20, 17, 20, 13, 14, 18, 15, 19, 22, 23, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 4, 3, 2, 1, 0]]"
221,115.94657142857139,1,time,"[[0, 1, 2, 3, 2, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 21, 20, 17, 12, 10, 12, 13, 20, 21, 23, 22, 19, 15, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
598,110.49857142857141,1,time,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 14, 18, 15, 19, 22, 23, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
