iteration,fitness,machines running,fitness,walkingpath
0,42.756499999999988,1,length,"[[0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 19, 15, 18, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 14, 11, 7, 8, 6, 8, 9, 16, 22, 19, 15, 11, 7, 5, 6, 1, 2, 3, 4, 3, 9, 3, 4, 3, 2, 1, 0]]"
1,39.67949999999999,1,length,"[[0, 1, 2, 3, 4, 3, 9, 8, 7, 11, 7, 5, 6, 8, 7, 5, 6, 1, 2, 3, 9, 16, 19, 15, 18, 21, 20, 17, 12, 17, 20, 13, 14, 18, 21, 23, 22, 23, 21, 20, 13, 12, 10, 12, 13, 14, 11, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
5,39.432500000000005,1,length,"[[0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 22, 23, 21, 20, 17, 12, 13, 14, 18, 21, 20, 13, 12, 10, 12, 17, 20, 13, 14, 11, 7, 8, 6, 5, 7, 8, 9, 16, 22, 19, 15, 11, 7, 5, 6, 8, 7, 11, 7, 5, 6, 1, 0]]"
33,38.949499999999993,1,length,"[[0, 1, 2, 3, 4, 3, 9, 3, 2, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 13, 20, 21, 23, 22, 16, 9, 8, 7, 5, 6, 8, 7, 8, 7, 11, 15, 19, 16, 9, 3, 2, 1, 0]]"
38,32.639499999999998,1,length,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 10, 12, 17, 20, 13, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 13, 14, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
2398,31.103500000000007,1,length,"[[0, 1, 6, 8, 9, 16, 19, 22, 23, 21, 20, 17, 12, 13, 14, 18, 21, 18, 15, 18, 21, 20, 13, 12, 10, 12, 13, 14, 11, 7, 5, 6, 8, 7, 11, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
